Branch_ID	Branch	City
230	A	Yangon
231	B	Mandalay
232	B	Mandalay
233	B	Mandalay
234	B	Mandalay
235	A	Yangon
236	A	Yangon
237	C	Naypyitaw
238	C	Naypyitaw
239	B	Mandalay
240	A	Yangon
241	A	Yangon
242	A	Yangon
243	C	Naypyitaw
244	A	Yangon
245	B	Mandalay
246	A	Yangon
247	B	Mandalay
248	A	Yangon
249	A	Yangon
250	B	Mandalay
251	B	Mandalay
252	C	Naypyitaw
253	C	Naypyitaw
254	A	Yangon
255	A	Yangon
256	B	Mandalay
257	A	Yangon
258	A	Yangon
259	A	Yangon
260	C	Naypyitaw
261	A	Yangon
262	C	Naypyitaw
263	B	Mandalay
264	A	Yangon
265	B	Mandalay
266	A	Yangon
267	C	Naypyitaw
268	B	Mandalay
269	A	Yangon
270	A	Yangon
271	B	Mandalay
272	C	Naypyitaw
273	A	Yangon
274	A	Yangon
275	B	Mandalay
276	B	Mandalay
277	C	Naypyitaw
278	C	Naypyitaw
279	C	Naypyitaw
280	A	Yangon
281	A	Yangon
282	C	Naypyitaw
283	A	Yangon
284	A	Yangon
285	A	Yangon
286	B	Mandalay
287	C	Naypyitaw
288	C	Naypyitaw
289	B	Mandalay
290	A	Yangon
291	B	Mandalay
292	C	Naypyitaw
293	A	Yangon
294	A	Yangon
295	B	Mandalay
296	C	Naypyitaw
297	C	Naypyitaw
298	A	Yangon
299	A	Yangon
300	C	Naypyitaw
301	C	Naypyitaw
302	B	Mandalay
303	C	Naypyitaw
304	A	Yangon
305	B	Mandalay
306	A	Yangon
307	A	Yangon
308	A	Yangon
309	A	Yangon
310	A	Yangon
311	B	Mandalay
312	C	Naypyitaw
313	A	Yangon
314	A	Yangon
315	C	Naypyitaw
316	C	Naypyitaw
317	C	Naypyitaw
318	C	Naypyitaw
319	C	Naypyitaw
320	C	Naypyitaw
321	C	Naypyitaw
322	C	Naypyitaw
323	A	Yangon
324	A	Yangon
325	A	Yangon
326	B	Mandalay
327	A	Yangon
328	C	Naypyitaw
329	B	Mandalay
330	A	Yangon
331	B	Mandalay
332	A	Yangon
333	A	Yangon
334	A	Yangon
335	C	Naypyitaw
336	A	Yangon
337	A	Yangon
338	B	Mandalay
339	C	Naypyitaw
340	B	Mandalay
341	B	Mandalay
342	B	Mandalay
343	B	Mandalay
344	C	Naypyitaw
345	A	Yangon
346	A	Yangon
347	A	Yangon
348	C	Naypyitaw
349	A	Yangon
350	B	Mandalay
351	C	Naypyitaw
352	A	Yangon
353	B	Mandalay
354	B	Mandalay
355	C	Naypyitaw
356	B	Mandalay
357	C	Naypyitaw
358	C	Naypyitaw
359	B	Mandalay
360	B	Mandalay
361	A	Yangon
362	C	Naypyitaw
363	C	Naypyitaw
364	A	Yangon
365	C	Naypyitaw
366	C	Naypyitaw
367	C	Naypyitaw
368	A	Yangon
369	C	Naypyitaw
370	A	Yangon
371	B	Mandalay
372	B	Mandalay
373	C	Naypyitaw
374	C	Naypyitaw
375	A	Yangon
376	A	Yangon
377	B	Mandalay
378	C	Naypyitaw
379	C	Naypyitaw
380	B	Mandalay
381	A	Yangon
382	C	Naypyitaw
383	B	Mandalay
384	C	Naypyitaw
385	A	Yangon
386	B	Mandalay
387	C	Naypyitaw
388	A	Yangon
389	C	Naypyitaw
390	B	Mandalay
391	C	Naypyitaw
392	B	Mandalay
393	A	Yangon
394	A	Yangon
395	A	Yangon
396	A	Yangon
397	A	Yangon
398	B	Mandalay
399	B	Mandalay
400	B	Mandalay
401	C	Naypyitaw
402	C	Naypyitaw
403	C	Naypyitaw
404	B	Mandalay
405	C	Naypyitaw
406	A	Yangon
407	A	Yangon
408	B	Mandalay
409	A	Yangon
410	C	Naypyitaw
411	B	Mandalay
412	B	Mandalay
413	A	Yangon
414	A	Yangon
415	A	Yangon
416	B	Mandalay
417	C	Naypyitaw
418	C	Naypyitaw
419	B	Mandalay
420	A	Yangon
421	C	Naypyitaw
422	C	Naypyitaw
423	C	Naypyitaw
424	B	Mandalay
425	C	Naypyitaw
426	B	Mandalay
427	A	Yangon
428	B	Mandalay
429	B	Mandalay
430	A	Yangon
431	B	Mandalay
432	C	Naypyitaw
433	A	Yangon
434	B	Mandalay
435	B	Mandalay
436	C	Naypyitaw
437	C	Naypyitaw
438	A	Yangon
439	C	Naypyitaw
440	C	Naypyitaw
441	C	Naypyitaw
442	B	Mandalay
443	A	Yangon
444	C	Naypyitaw
445	A	Yangon
446	B	Mandalay
447	C	Naypyitaw
448	C	Naypyitaw
449	B	Mandalay
450	B	Mandalay
451	B	Mandalay
452	B	Mandalay
453	A	Yangon
454	A	Yangon
455	A	Yangon
456	B	Mandalay
457	B	Mandalay
458	B	Mandalay
459	C	Naypyitaw
460	C	Naypyitaw
461	C	Naypyitaw
462	B	Mandalay
463	C	Naypyitaw
464	C	Naypyitaw
465	A	Yangon
466	C	Naypyitaw
467	C	Naypyitaw
468	B	Mandalay
469	C	Naypyitaw
470	C	Naypyitaw
471	C	Naypyitaw
472	A	Yangon
473	A	Yangon
474	B	Mandalay
475	A	Yangon
476	A	Yangon
477	A	Yangon
478	C	Naypyitaw
479	B	Mandalay
480	A	Yangon
481	C	Naypyitaw
482	C	Naypyitaw
483	A	Yangon
484	B	Mandalay
485	C	Naypyitaw
486	B	Mandalay
487	B	Mandalay
488	A	Yangon
489	C	Naypyitaw
490	B	Mandalay
491	B	Mandalay
492	A	Yangon
493	B	Mandalay
494	C	Naypyitaw
495	B	Mandalay
496	B	Mandalay
497	C	Naypyitaw
498	C	Naypyitaw
499	B	Mandalay
