Branch_ID	Branch	City
743	A	Yangon
744	A	Yangon
745	C	Naypyitaw
746	C	Naypyitaw
747	B	Mandalay
748	C	Naypyitaw
749	B	Mandalay
750	C	Naypyitaw
751	B	Mandalay
752	A	Yangon
753	A	Yangon
754	B	Mandalay
755	C	Naypyitaw
756	A	Yangon
757	B	Mandalay
758	A	Yangon
759	A	Yangon
760	A	Yangon
761	B	Mandalay
762	B	Mandalay
763	A	Yangon
764	A	Yangon
765	A	Yangon
766	B	Mandalay
767	C	Naypyitaw
768	B	Mandalay
769	B	Mandalay
770	A	Yangon
771	B	Mandalay
772	C	Naypyitaw
773	C	Naypyitaw
774	C	Naypyitaw
775	C	Naypyitaw
776	B	Mandalay
777	C	Naypyitaw
778	B	Mandalay
779	C	Naypyitaw
780	B	Mandalay
781	C	Naypyitaw
782	A	Yangon
783	A	Yangon
784	C	Naypyitaw
785	C	Naypyitaw
786	A	Yangon
787	C	Naypyitaw
788	C	Naypyitaw
789	C	Naypyitaw
790	A	Yangon
791	A	Yangon
792	C	Naypyitaw
793	B	Mandalay
794	A	Yangon
795	A	Yangon
796	B	Mandalay
797	C	Naypyitaw
798	A	Yangon
799	B	Mandalay
800	C	Naypyitaw
801	B	Mandalay
802	C	Naypyitaw
803	C	Naypyitaw
804	A	Yangon
805	B	Mandalay
806	A	Yangon
807	A	Yangon
808	A	Yangon
809	B	Mandalay
810	C	Naypyitaw
811	B	Mandalay
812	A	Yangon
813	C	Naypyitaw
814	A	Yangon
815	A	Yangon
816	B	Mandalay
817	C	Naypyitaw
818	A	Yangon
819	B	Mandalay
820	B	Mandalay
821	B	Mandalay
822	A	Yangon
823	C	Naypyitaw
824	A	Yangon
825	B	Mandalay
826	A	Yangon
827	B	Mandalay
828	A	Yangon
829	C	Naypyitaw
830	A	Yangon
831	A	Yangon
832	B	Mandalay
833	B	Mandalay
834	A	Yangon
835	B	Mandalay
836	A	Yangon
837	A	Yangon
838	B	Mandalay
839	C	Naypyitaw
840	C	Naypyitaw
841	A	Yangon
842	B	Mandalay
843	A	Yangon
844	C	Naypyitaw
845	A	Yangon
846	A	Yangon
847	A	Yangon
848	C	Naypyitaw
849	C	Naypyitaw
850	A	Yangon
851	A	Yangon
852	A	Yangon
853	C	Naypyitaw
854	B	Mandalay
855	A	Yangon
856	B	Mandalay
857	B	Mandalay
858	A	Yangon
859	B	Mandalay
860	A	Yangon
861	C	Naypyitaw
862	A	Yangon
863	B	Mandalay
864	B	Mandalay
865	A	Yangon
866	C	Naypyitaw
867	B	Mandalay
868	C	Naypyitaw
869	C	Naypyitaw
870	A	Yangon
871	A	Yangon
872	C	Naypyitaw
873	B	Mandalay
874	A	Yangon
875	A	Yangon
876	C	Naypyitaw
877	C	Naypyitaw
878	B	Mandalay
879	A	Yangon
880	B	Mandalay
881	B	Mandalay
882	C	Naypyitaw
883	B	Mandalay
884	A	Yangon
885	A	Yangon
886	A	Yangon
887	A	Yangon
888	A	Yangon
889	C	Naypyitaw
890	A	Yangon
891	C	Naypyitaw
892	B	Mandalay
893	C	Naypyitaw
894	B	Mandalay
895	B	Mandalay
896	B	Mandalay
897	C	Naypyitaw
898	C	Naypyitaw
899	C	Naypyitaw
900	A	Yangon
901	C	Naypyitaw
902	B	Mandalay
903	A	Yangon
904	A	Yangon
905	C	Naypyitaw
906	C	Naypyitaw
907	C	Naypyitaw
908	B	Mandalay
909	A	Yangon
910	B	Mandalay
911	B	Mandalay
912	C	Naypyitaw
913	A	Yangon
914	A	Yangon
915	A	Yangon
916	C	Naypyitaw
917	C	Naypyitaw
918	A	Yangon
919	B	Mandalay
920	B	Mandalay
921	C	Naypyitaw
922	B	Mandalay
923	C	Naypyitaw
924	C	Naypyitaw
925	C	Naypyitaw
926	B	Mandalay
927	B	Mandalay
928	A	Yangon
929	B	Mandalay
930	B	Mandalay
931	B	Mandalay
932	C	Naypyitaw
933	A	Yangon
934	C	Naypyitaw
935	B	Mandalay
936	C	Naypyitaw
937	C	Naypyitaw
938	A	Yangon
939	A	Yangon
940	C	Naypyitaw
941	A	Yangon
942	C	Naypyitaw
943	A	Yangon
944	A	Yangon
945	A	Yangon
946	A	Yangon
947	C	Naypyitaw
948	B	Mandalay
949	C	Naypyitaw
950	B	Mandalay
951	B	Mandalay
952	B	Mandalay
953	B	Mandalay
954	C	Naypyitaw
955	B	Mandalay
956	A	Yangon
957	C	Naypyitaw
958	B	Mandalay
959	C	Naypyitaw
960	A	Yangon
961	C	Naypyitaw
962	A	Yangon
963	A	Yangon
964	C	Naypyitaw
965	B	Mandalay
966	B	Mandalay
967	A	Yangon
968	A	Yangon
969	A	Yangon
970	B	Mandalay
971	B	Mandalay
972	B	Mandalay
973	B	Mandalay
974	A	Yangon
975	C	Naypyitaw
976	B	Mandalay
977	A	Yangon
978	B	Mandalay
979	B	Mandalay
980	B	Mandalay
981	C	Naypyitaw
982	A	Yangon
983	A	Yangon
984	C	Naypyitaw
985	C	Naypyitaw
986	B	Mandalay
987	B	Mandalay
988	B	Mandalay
989	C	Naypyitaw
990	B	Mandalay
991	A	Yangon
992	B	Mandalay
993	A	Yangon
994	B	Mandalay
995	C	Naypyitaw
996	C	Naypyitaw
997	B	Mandalay
998	A	Yangon
999	A	Yangon
1000	A	Yangon
